File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f407_427.o,93.302963%,2048,428,36,392,0,2048
tasks.o,2.232346%,49,207,158,0,49,0
app_debug.o,1.366743%,30,248,236,0,12,18
protocol.o,1.275626%,28,282,282,0,0,28
mc_w.l,0.546697%,12,1684,1672,0,12,0
systick.o,0.546697%,12,120,120,0,0,12
mvars.o,0.364465%,8,8,0,0,8,0
stdout.o,0.182232%,4,4,0,0,4,0
system_gd32f4xx.o,0.182232%,4,534,530,0,4,0
